slug,page_type,title,h1,url,internal_link_count,external_link_count,image_count,script_count,iframe_count,form_count
1960s.html,general,1960s - Fremont Sailing Club,,https://www.fremontsailingclub.org/1960s.html,171,0,1,8,0,1
1968.html,year-archive,1968 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1968.html,171,3,1,9,0,1
1969.html,year-archive,1969 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1969.html,171,12,1,9,0,1
1970.html,year-archive,1970 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1970.html,171,12,1,9,0,1
1970s.html,general,1970s - Fremont Sailing Club,,https://www.fremontsailingclub.org/1970s.html,171,0,1,8,0,1
1971.html,year-archive,1971 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1971.html,171,12,1,9,0,1
1972.html,year-archive,1972 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1972.html,171,12,1,9,0,1
1973.html,year-archive,1973 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1973.html,171,12,1,8,0,1
1974.html,year-archive,1974 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1974.html,171,12,1,8,0,1
1975.html,year-archive,1975 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1975.html,171,12,1,8,0,1
1976.html,year-archive,1976 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1976.html,171,12,1,8,0,1
1977.html,year-archive,1977 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1977.html,171,11,1,8,0,1
1978.html,year-archive,1978 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1978.html,171,11,1,8,0,1
1979.html,year-archive,1979 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1979.html,171,11,1,9,0,1
1980.html,year-archive,1980 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1980.html,171,11,1,8,0,1
1980s.html,general,1980s - Fremont Sailing Club,,https://www.fremontsailingclub.org/1980s.html,171,0,1,8,0,1
1981.html,year-archive,1981 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1981.html,171,10,1,8,0,1
1982.html,year-archive,1982 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1982.html,171,11,1,9,0,1
1983.html,year-archive,1983 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1983.html,171,12,1,9,0,1
1984.html,year-archive,1984 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1984.html,171,12,1,8,0,1
1985.html,year-archive,1985 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1985.html,171,12,1,9,0,1
1986.html,year-archive,1986 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1986.html,171,12,1,8,0,1
1987.html,year-archive,1987 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1987.html,171,12,1,9,0,1
1988.html,year-archive,1988 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1988.html,171,12,1,8,0,1
1989.html,year-archive,1989 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1989.html,171,11,1,8,0,1
1990.html,year-archive,1990 - Fremont Sailing Club,,https://www.fremontsailingclub.org/1990.html,171,12,1,8,0,1
1990s.html,general,1990s - Fremont Sailing Club,,https://www.fremontsailingclub.org/1990s.html,171,0,1,9,0,1
